estacion,fecha,obs_temp,n_horas_validas
Belisario,2006-10-26,14.9370833333333,24
Belisario,2006-10-27,13.51625,24
Belisario,2006-10-28,13.68375,24
Belisario,2006-10-29,13.4854166666667,24
Belisario,2006-10-30,12.4134782608696,23
Belisario,2006-10-31,12.0729166666667,24
Belisario,2006-11-01,13.515,24
Belisario,2006-11-02,14.2004166666667,24
Belisario,2006-11-03,14.7566666666667,24
Belisario,2006-11-04,14.9658333333333,24
Belisario,2006-11-05,14.0529166666667,24
Belisario,2006-11-06,13.8995833333333,24
Belisario,2006-11-07,12.0108333333333,24
Belisario,2006-11-08,11.55,24
Belisario,2006-11-09,13.2775,24
Belisario,2006-11-10,14.1433333333333,24
Belisario,2006-11-11,12.5308333333333,24
Belisario,2006-11-12,11.5128571428571,21
Belisario,2006-11-13,12.7633333333333,18
Belisario,2006-11-14,11.1968421052632,19
Belisario,2006-11-15,11.3275,24
Belisario,2006-11-16,13.2058333333333,24
Belisario,2006-11-17,14.3568181818182,22
Belisario,2006-11-18,12.9829166666667,24
Belisario,2006-11-19,13.539583333333301,24
Belisario,2006-11-20,13.0895833333333,24
Belisario,2006-11-21,13.9010526315789,19
Belisario,2006-11-23,13.286,20
Belisario,2006-11-24,13.7560869565217,23
Belisario,2006-11-25,13.8191666666667,24
Belisario,2006-11-26,14.0545833333333,24
Belisario,2006-11-27,13.3725,24
Belisario,2006-11-28,14.5629166666667,24
Belisario,2006-11-29,14.4358333333333,24
Belisario,2006-11-30,15.1458333333333,24
Belisario,2006-12-01,15.1729166666667,24
Belisario,2006-12-02,14.2125,24
Belisario,2006-12-03,13.4233333333333,24
Belisario,2006-12-04,13.6254166666667,24
Belisario,2006-12-05,13.4983333333333,24
Belisario,2006-12-06,13.5320833333333,24
Belisario,2006-12-07,13.5916666666667,24
Belisario,2006-12-08,13.4641666666667,24
Belisario,2006-12-09,13.3329166666667,24
Belisario,2006-12-10,14.00625,24
Belisario,2006-12-11,14.8147826086957,23
Belisario,2006-12-12,12.4325,24
Belisario,2006-12-13,13.2058333333333,24
Belisario,2006-12-14,12.81875,24
Belisario,2006-12-15,13.4495833333333,24
Belisario,2006-12-16,14.3108333333333,24
Belisario,2006-12-17,14.0291666666667,24
Belisario,2006-12-18,13.29625,24
Belisario,2006-12-19,14.00875,24
Belisario,2006-12-20,12.1033333333333,24
Belisario,2006-12-21,13.0358333333333,24
Belisario,2006-12-22,13.7520833333333,24
Belisario,2006-12-23,14.7995833333333,24
Belisario,2006-12-24,14.9233333333333,24
Belisario,2006-12-25,14.1504166666667,24
Belisario,2006-12-26,13.1458333333333,24
Belisario,2006-12-27,13.92875,24
Belisario,2006-12-28,14.9741666666667,24
Belisario,2006-12-29,16.6345833333333,24
Belisario,2006-12-30,16.62375,24
Belisario,2006-12-31,15.5970833333333,24
Belisario,2007-01-01,15.2316666666667,24
Belisario,2007-01-02,15.6804166666667,24
Belisario,2007-01-03,14.758333333333301,24
Belisario,2007-01-04,14.7804166666667,24
Belisario,2007-01-05,14.9475,24
Belisario,2007-01-06,14.8670833333333,24
Belisario,2007-01-07,15.675,24
Belisario,2007-01-08,14.9216666666667,24
Belisario,2007-01-09,15.2970833333333,24
Belisario,2007-01-10,15.68,24
