estacion,fecha,obs_temp,n_horas_validas,era5_temp,merra2_temp
Carapungo,2013-08-23,14.39,24,13.984217916666688,17.28493404166669
Carapungo,2013-08-24,14.3895833333333,24,13.738610833333356,16.703300791666692
Carapungo,2013-08-25,14.765,24,14.11400625000003,17.057722958333354
Carapungo,2013-08-26,14.1225,24,14.495335833333352,16.946694875000023
Carapungo,2013-08-27,14.7920833333333,24,14.943476250000025,17.51661187500002
Carapungo,2013-08-28,14.7879166666667,24,15.410781666666688,17.75752925000003
Carapungo,2013-08-29,14.93125,24,15.25960833333336,17.517462541666692
Carapungo,2013-08-31,14.9375,24,15.305673333333354,17.464096375000015
Carapungo,2013-09-01,13.6808333333333,24,14.561334583333355,17.615960791666694
Carapungo,2013-09-02,14.2282608695652,23,13.497551250000024,17.023760708333352
Carapungo,2013-09-03,14.2254166666667,24,13.479961666666682,17.199161916666686
Carapungo,2013-09-04,14.6170833333333,24,13.215436250000018,17.664584041666686
Carapungo,2013-09-05,15.0783333333333,24,14.562207500000028,17.904468833333357
Carapungo,2013-09-06,13.7645833333333,24,14.240845000000023,17.65371612500002
Carapungo,2013-09-07,14.9295833333333,24,14.251869166666692,17.31626412500002
Carapungo,2013-09-08,14.1820833333333,24,14.947623333333352,17.646716083333356
Carapungo,2013-09-09,14.16125,24,14.818928333333352,17.705527208333358
Carapungo,2013-09-10,14.32875,24,14.749733333333351,17.362705500000022
Carapungo,2013-09-11,14.1733333333333,24,14.381369166666689,17.241580041666683
Carapungo,2013-09-12,14.8345833333333,24,13.888451250000026,17.14103345833335
Carapungo,2013-09-13,14.6329166666667,24,14.12633416666669,17.867775291666685
Carapungo,2013-09-14,14.96,24,14.469585000000018,18.280234250000024
Carapungo,2013-09-15,15.5316666666667,24,15.776112916666696,18.372708875000026
Carapungo,2013-09-16,15.5766666666667,24,15.895990000000015,18.49365904166669
Carapungo,2013-09-17,14.0845833333333,24,13.768179583333357,17.52759195833336
Carapungo,2013-09-18,15.1475,24,15.16106416666669,18.04542820833336
Carapungo,2013-09-19,15.0966666666667,24,15.506133750000023,17.581353750000023
Carapungo,2013-09-20,15.6083333333333,24,15.736030000000024,18.43707304166669
